areasymbol,areaname,musym,natmusym,muname,map_order,mukey,dmu_nasis_group,coiid,compname,localphase,comppct_r,comp_acres,majcompflag,compkind,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,particle_size_class,diag_features,temp_regime,moisture_subclass,moisture_regime,MLRA_NASIS,ecosite_id,ecosite_name,rangeprod_l,rangeprod_r,rangeprod_h,oth_veg_class_type,oth_veg_class_id,oth_veg_class_name,coforprod_plantsyms,coeplants_plantsyms,cocanopy_plantsyms,map_l_in,map_r_in,map_h_in,maat_l_f,maat_r_f,maat_h_f,ffd_l,ffd_r,ffd_h,elev_l_ft,elev_r_ft,elev_h_ft,slope_l,slope_r,slope_h,aspect_rep,aspect_cw,aspect_ccw,landscape,landform,geomorph_comp,hillslope_profile,slope_shp_across_down,parent_material,restrict_kind,restrict_depth_l_in,restrict_depth_r_in,restrict_depth_h_in,soil_depth_l_in,soil_depth_r_in,soil_depth_h_in,o_horizon_depth_in,ksat_l_0_10_in,ksat_l_10_40_in,ksat_l_0_40_in,awc_l_0_10_in,awc_r_0_10_in,awc_h_0_10_in,awc_l_0_40_in,awc_r_0_40_in,awc_h_0_40_in,surf_texture,frags_r_2mm_3in_on_surf,frags_lo_2mm_3in_on_surf,frags_hi_2mm_3in_on_surf,frags_r_gt_3in_on_surf,frags_lo_gt_3in_on_surf,frags_hi_gt_3in_on_surf,surfhzn_frags_r_2mm-3in,surfhzn_frags_r_gt_3in,subsurf_frags_r_2mm-3in,subsurf_frags_lo_2mm-3in,subsurf_frags_hi_2mm-3in,subsurf_frags_r_gt_3in,subsurf_frags_lo_gt_3in,subsurf_frags_hi_gt_3in,albedo_dry_r,clay_r_surf_,clay_r_max_0_20in,surf_structure,pH_l_0_10in,pH_h_0_10in,pH_l_10_40in,pH_h_10_40in,CaCO3_l_0_10in,CaCO3_h_0_10in,CaCO3_l_10_40in,CaCO3_h_10_40in,SAR_l_0_10in,SAR_h_0_10in,SAR_l_10_40in,SAR_h_10_40in,EC_l_0_10in,EC_h_0_10in,EC_l_10_40in,EC_h_10_40in,water_table_l_in,water_table_h_in,water_table_months,drainage_class,flood_freq,flood_dur,pond_freq,pond_dur,pond_depth_h,pond_depth_l,pond_depth_rv
CA792,"Sequoia and Kings Canyon National Parks, California",1103,2t8z1,"Typic Cryorthents, 30 to 90 percent slopes",order 4,2777251,2-SON SEKI,2405839,Rock outcrop,granitic crags,10,3447,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,27,40,57,28,32,36,40,50,70,9400,11850,14290,30,75,100,248,360,0,mountains,"cirque headwalls, ridges",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1103,2t8z1,"Typic Cryorthents, 30 to 90 percent slopes",order 4,2777251,2-SON SEKI,2405960,Canisrocks,cool,2,689,no,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA107CA,Alpine Mountain Shoulder,,,,,,,,,,27,40,57,28,32,36,40,50,70,9400,11030,14290,15,41,60,95,360,0,mountains,talus slopes on mountain slopes,lower third of mountainflank,backslope,convex/linear,colluvium derived from granite,,,,,,60,,0,high,high,high,0.1,0.4,0.7,0.4,1.3,2.2,BYV-S,35,32,78,20,9,76,35,20,28,15,41,13,12,41,0.37,1,1,structureless single grain structure,5.1,6,5.1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1103,2t8z1,"Typic Cryorthents, 30 to 90 percent slopes",order 4,2777251,2-SON SEKI,2405961,Forgotten,steep,1,345,no,series,Inceptisols,Cryepts,Humicryepts,Oxyaquic Humicryepts,sandy-skeletal,umbric epipedon(0-9),Cryic,Oxyaquic,Xeric,22A,R022AX002CA,Cryic moist talus slopes,,,,,,,,,,27,40,57,28,32,36,40,50,70,9400,12040,14290,15,20,35,273,360,0,mountains,drainageways on mountain slopes,mountainbase,footslope,concave/concave,slope alluvium derived from granite,,,,,,59,,0,high,high,high,0.3,1,1.3,0.6,1.9,2.8,PT-LFS,100,111,141414,1,1,14,0,0,26,15,34,14,14,37,0.16,2,5,structureless massive structure,4.8,6.2,5.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,14,39,"January, February, March, April, May, June, July, August, September, October, November, December",moderately well,rare,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405895,Rock outcrop,granitic,40,18962,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,11970,13250,10,30,75,180,360,0,mountains,structural benches on cirques,,,convex/convex,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405898,Isosceles,cool,22,10429,yes,series,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,loamy,"umbric epipedon(0-10), lithic contact(10-79)",Cryic,Typic,Xeric,22A,R022AA102CA,Alpine Bedrock Benches,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,11930,13250,5,10,30,266,360,0,mountains,structural benches on cirques,lower third of mountainflank,backslope,concave/linear,slope alluvium over residuum weathered from granite,Lithic bedrock,4,10,20,,10,,0,high,high,high,0.4,0.9,1.4,0.4,0.9,1.4,GR-COS,20,12,43,17,7,48,20,0,9,0,25,0,0,10,0.23,1,3,structureless single grain structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405896,Langille,cool,15,7111,yes,series,Inceptisols,Cryepts,Dystrocryepts,Vitrixerandic Dystrocryepts,loamy-skeletal,"ochric epipedon(0-7), cambic horizon(12-24), lithic contact(24-79)",Cryic,Typic,Xeric,22A,R022AA104CA,Loamy Skeletal Moist Swales,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,11680,13250,15,21,45,170,360,0,mountains,structural benches on cirques,mountainbase,backslope,concave/linear,colluvium over residuum weathered from granite,Lithic bedrock,20,24,39,,24,,0,high,high,high,0.2,0.3,1.2,0.5,0.8,2.6,CNX-FSL,33,2,33,27,6,100,45,30,41,15,41,17,13,38,0.16,5,10,moderate fine granular structure,4.5,5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405897,Canisrocks,cool,9,4266,no,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA107CA,Alpine Mountain Shoulder,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,11960,13250,15,35,45,140,360,0,mountains,talus slopes on cirques,center third of mountainflank,backslope,linear/linear,colluvium derived from granite,,,,,,59,,0,high,high,high,0.1,0.3,0.5,0.4,0.7,2,CBV-LS,35,32,78,20,9,76,26,20,30,14,35,22,20,53,0.16,4,4,weak very fine granular structure,4.5,6.1,4.5,6.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405899,McDermand,cool,5,2370,no,series,Entisols,Orthents,Cryorthents,Vitrandic Cryorthents,sandy-skeletal,"umbric epipedon(0-12), redox concentrations(12-34), lithic contact(34-79)",Cryic,Oxyaquic,Xeric,22A,R022AA104CA,Loamy Skeletal Moist Swales,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,11990,13250,2,2,15,325,360,0,mountains,cirque floors on cirques,mountainbase,footslope,concave/concave,alluvium and/or residuum weathered from granite,Lithic bedrock,20,34,39,,34,,0,high,high,high,0.5,0.9,1.7,1.4,3,5.2,ST-LFS,0,1,14,30,13,62,10,20,16,0,19,12,0,23,0.16,1,2,weak very thick platy structure,4.5,5.5,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,12,39,"May, June, July",moderately well,rare,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2669140,Typic Cryorthents,,5,2370,no,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,10970,13250,15,38,60,360,360,0,mountains,talus slopes on cirques,upper third of mountainflank,"backslope, footslope","linear/linear, linear/convex",talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.1,0.7,0.4,0.4,2.3,STX-LCOS,5,2,43,60,32,100,30,40,29,12,30,23,22,56,0.23,2,3,"weak very fine granular structure, and weak fine granular structure",4.5,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2405907,Forgotten,,3,1422,no,series,Inceptisols,Cryepts,Humicryepts,Oxyaquic Humicryepts,sandy-skeletal,umbric epipedon(0-9),Cryic,Oxyaquic,Xeric,22A,R022AX006CA,"High Gradient, Glacially Scoured Headwater Riverine",,,,,,,,,,33,41,58,28,32,34,40,55,70,10060,12040,13250,3,10,20,273,360,0,mountains,"drainageways on cirques, flood-plain steps on cirques",mountainbase,"backslope, footslope",concave/concave,alluvium and/or colluvium derived from granite,,,,,,59,,0,high,high,high,0.3,1,1.3,0.6,1.9,2.8,PT-LFS,1,1,14,1,2,43,0,0,24,14,32,14,14,39,0.16,2,5,structureless massive structure,4.8,6.2,5.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,14,39,"January, February, March, April, May, June, July, August, September, October, November, December",moderately well,rare,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1115,2w86j,"Rock outcrop, granitic-Isosceles, cool-Langille, cool complex, 5 to 75 percent slopes",order 3,2924683,2-SON SEKI,2588437,Water,,1,474,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,,,,,,,,,,10060,11970,13250,1,5,10,,,,mountains,streams,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405893,Rock outcrop,granitic,39,10170,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,11400,13020,30,55,100,180,360,0,mountains,cliffs,,,convex/convex,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405891,Typic Cryorthents,,30,7823,yes,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA010CA,Alpine Talus,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,11400,13020,30,69,90,69,360,0,mountains,talus slopes on mountain slopes,"center third of mountainflank, side slope",backslope,linear/linear,talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.7,0.8,0.4,1.8,2.4,GR-LS,35,17,58,45,18,100,17,9,20,13,35,12,12,50,0.3,3,3,weak medium subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405915,Canisrocks,scree,18,4694,yes,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA101CA,Sandy Very Deep Alpine Mountain Slopes,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,11840,13020,30,65,75,220,360,0,mountains,mountain slopes,mountainflank,backslope,linear/linear,colluvium derived from granite,,,,,,51,,1,high,high,high,0.1,0.3,0.6,0.4,0.6,2.1,GRX-LS,60,8,67,27,7,48,0,0,39,19,47,12,12,40,0.04,5,15,weak very fine subangular blocky structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405894,Benchlake,,9,2347,no,taxadjunct,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,sandy-skeletal,"umbric epipedon(0-11), lithic contact(18-79)",Cryic,Typic,Xeric,22A,R022AA102CA,Alpine Bedrock Benches,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,11110,13020,15,19,45,158,360,0,mountains,structural benches on mountain slopes,lower third of mountainflank,backslope,linear/linear,colluvium over residuum weathered from granite,Lithic bedrock,10,18,20,,18,,0,high,high,high,0.2,0.4,0.7,0.3,0.7,1.2,GR-COS,30,2,33,30,5,90,25,2,30,21,48,3,4,18,0.16,2,3,weak very fine granular structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405892,Langille,cool,3,782,no,series,Inceptisols,Cryepts,Dystrocryepts,Vitrixerandic Dystrocryepts,loamy-skeletal,"ochric epipedon(0-7), cambic horizon(3-15), lithic contact(28-79)",Cryic,Typic,Xeric,22A,R022AA104CA,Loamy Skeletal Moist Swales,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,10930,13020,15,16,60,108,360,0,mountains,mountain slopes,mountainflank,backslope,concave/concave,colluvium over residuum weathered from granite,Lithic bedrock,20,28,39,,28,,0,high,high,high,0.3,0.9,1.2,0.6,1.8,2.9,LS,0,2,33,10,3,62,5,0,24,21,48,3,4,27,0.16,3,6,weak medium subangular blocky structure,4.5,5.5,5.1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1137,2t8zr,"Rock outcrop, granitic-Typic Cryorthents-Canisrocks, scree complex, 30 to 100 percent slopes",order 3,2924690,2-SON SEKI,2405920,Forgotten,steep,1,261,no,series,Inceptisols,Cryepts,Humicryepts,Oxyaquic Humicryepts,sandy-skeletal,umbric epipedon(0-9),Cryic,Oxyaquic,Xeric,22A,R022AX002CA,Cryic moist talus slopes,,,,,,,,,,28,42,57,30,34,36,45,60,80,9380,12040,13020,15,20,35,273,360,0,mountains,high gradient drainageways on mountain slopes,"lower third of mountainflank, base slope",footslope,concave/concave,slope alluvium derived from granite,,,,,,59,,0,high,high,high,0.3,1,1.3,0.6,1.9,2.8,PT-LFS,1,1,14,1,2,43,0,0,24,14,32,14,14,39,0.16,2,5,structureless massive structure,4.8,6.2,5.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,14,39,"January, February, March, April, May, June, July, August, September, October, November, December",moderately well,rare,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1151,2w86f,"Polemonium very gravelly coarse sand, 10 to 30 percent slopes",order 3,2924684,2-SON SEKI,2405889,Polemonium,,94,4523,yes,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AA106CA,Gravelly Alpine Till,,,,,,,,,,25,34,57,28,30,36,40,50,70,10550,12630,14470,10,20,30,177,360,0,mountains,"top of mountains, mesas",mountaintop,summit,"linear/linear, linear/convex",slope alluvium and/or eolian deposits over residuum weathered from granite,,,,,,63,,0,moderately high,moderately high,moderately high,0.2,0.5,0.8,0.5,1.2,2.7,GRV-COS,66,37,73,23,2,43,45,5,40,21,44,11,11,27,0.3,0,5,structureless single grain structure,5,6.5,5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",1151,2w86f,"Polemonium very gravelly coarse sand, 10 to 30 percent slopes",order 3,2924684,2-SON SEKI,2405890,Rock outcrop,granitic,5,241,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,25,34,57,28,30,36,40,50,70,10550,12630,14470,10,23,45,248,360,0,mountains,"flat-topped mountains, plateaus",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
